ID,nspI,nspP,habitat
109,33,4,Hab1
110,21,1,Hab1
111,41,9,Hab1
112,28,3,Hab1
113,20,1,Hab1
114,43,9,Hab1
115,37,7,Hab1
116,18,1,Hab1
117,31,5,Hab1
118,51,10,Hab1
119,33,6,Hab1
120,29,4,Hab1
121,33,6,Hab1
122,24,3,Hab1
123,27,3,Hab1
124,22,2,Hab1
125,27,4,Hab1
126,44,10,Hab1
127,26,2,Hab1
128,20,1,Hab1
129,17,1,Hab1
130,38,7,Hab1
131,35,6,Hab1
132,46,9,Hab1
133,39,7,Hab1
134,38,7,Hab1
135,33,5,Hab1
136,39,7,Hab1
137,40,8,Hab1
138,40,8,Hab1
139,47,10,Hab1
140,27,4,Hab1
141,28,3,Hab1
142,28,4,Hab1
143,14,0,Hab1
144,27,2,Hab1
145,39,8,Hab1
146,22,2,Hab1
147,24,2,Hab1
148,21,1,Hab1
149,22,2,Hab1
150,36,7,Hab1
151,44,8,Hab1
152,32,5,Hab1
153,30,4,Hab1
154,26,2,Hab1
155,20,1,Hab1
156,28,4,Hab1
157,32,6,Hab1
158,25,2,Hab1
159,29,4,Hab1
160,21,2,Hab1
161,31,5,Hab1
162,27,4,Hab1
163,35,6,Hab1
164,27,4,Hab1
165,26,4,Hab1
166,29,5,Hab1
167,39,7,Hab1
168,22,2,Hab1
169,27,4,Hab1
170,31,3,Hab1
171,34,6,Hab1
172,22,2,Hab1
173,45,9,Hab1
174,41,7,Hab1
175,36,7,Hab1
176,35,6,Hab1
177,30,4,Hab1
178,31,5,Hab1
179,41,9,Hab1
180,36,6,Hab1
181,36,8,Hab1
182,24,3,Hab1
183,39,7,Hab1
184,28,3,Hab1
185,37,6,Hab1
186,30,5,Hab1
187,25,3,Hab1
188,37,6,Hab1
189,45,9,Hab1
190,44,9,Hab1
191,23,3,Hab1
192,26,3,Hab1
193,47,10,Hab1
194,37,6,Hab1
195,40,9,Hab1
196,30,5,Hab1
197,32,4,Hab1
198,35,7,Hab1
199,28,2,Hab1
200,34,6,Hab1
201,25,2,Hab1
202,50,10,Hab1
203,35,6,Hab1
204,33,5,Hab1
205,29,4,Hab1
206,50,9,Hab1
207,26,4,Hab1
208,24,3,Hab1
209,25,2,Hab1
210,23,2,Hab1
211,31,5,Hab1
212,34,3,Hab1
213,21,2,Hab1
214,38,7,Hab1
215,14,0,Hab1
216,40,7,Hab1
217,28,4,Hab1
218,31,4,Hab1
219,39,8,Hab1
220,48,9,Hab1
221,25,3,Hab1
222,47,10,Hab1
223,35,7,Hab1
224,41,7,Hab1
225,24,1,Hab1
226,25,4,Hab1
227,32,5,Hab1
228,33,6,Hab1
229,40,7,Hab1
230,44,9,Hab1
231,30,6,Hab1
232,28,4,Hab1
233,31,5,Hab1
234,20,1,Hab1
235,24,3,Hab1
236,26,4,Hab1
237,20,2,Hab1
238,42,8,Hab1
239,27,2,Hab1
240,40,8,Hab1
241,29,5,Hab1
242,37,7,Hab1
243,24,2,Hab1
244,34,6,Hab1
245,28,3,Hab1
246,37,7,Hab1
247,29,4,Hab1
248,44,10,Hab1
249,45,10,Hab1
250,39,7,Hab1
251,38,3,Hab2
252,33,2,Hab2
253,45,6,Hab2
254,31,3,Hab2
255,40,5,Hab2
256,53,8,Hab2
257,30,2,Hab2
258,37,4,Hab2
259,47,5,Hab2
260,54,9,Hab2
261,52,9,Hab2
262,54,9,Hab2
263,44,7,Hab2
264,55,10,Hab2
265,43,5,Hab2
266,42,6,Hab2
267,37,3,Hab2
268,40,3,Hab2
269,24,0,Hab2
270,47,5,Hab2
271,50,9,Hab2
272,28,0,Hab2
273,30,1,Hab2
274,33,2,Hab2
275,54,8,Hab2
276,48,7,Hab2
277,58,10,Hab2
278,43,5,Hab2
279,29,1,Hab2
280,44,6,Hab2
281,49,8,Hab2
282,32,1,Hab2
283,39,4,Hab2
284,34,2,Hab2
285,30,1,Hab2
286,38,4,Hab2
287,31,1,Hab2
288,33,2,Hab2
289,29,1,Hab2
290,48,7,Hab2
291,38,3,Hab2
292,30,1,Hab2
293,28,1,Hab2
294,56,9,Hab2
295,50,8,Hab2
296,50,8,Hab2
297,59,10,Hab2
298,31,1,Hab2
299,32,1,Hab2
300,51,8,Hab2
301,47,8,Hab2
302,27,0,Hab2
303,51,8,Hab2
304,50,7,Hab2
305,46,6,Hab2
306,42,5,Hab2
307,30,2,Hab2
308,25,0,Hab2
309,43,5,Hab2
310,39,5,Hab2
311,37,4,Hab2
312,41,5,Hab2
313,50,7,Hab2
314,28,1,Hab2
315,40,4,Hab2
316,48,8,Hab2
317,53,8,Hab2
318,31,2,Hab2
319,39,4,Hab2
320,50,9,Hab2
321,56,9,Hab2
322,35,3,Hab2
323,33,1,Hab2
324,47,7,Hab2
325,35,1,Hab2
326,26,0,Hab2
327,57,10,Hab2
328,27,0,Hab2
329,32,3,Hab2
330,55,9,Hab2
331,45,6,Hab2
332,35,3,Hab2
333,48,7,Hab2
334,52,8,Hab2
335,35,3,Hab2
336,40,5,Hab2
337,49,7,Hab2
338,46,6,Hab2
339,47,6,Hab2
340,57,10,Hab2
341,38,4,Hab2
342,30,1,Hab2
343,41,5,Hab2
344,31,2,Hab2
345,43,5,Hab2
346,43,4,Hab2
347,56,10,Hab2
348,40,4,Hab2
349,33,2,Hab2
350,45,6,Hab2
351,26,1,Hab2
352,52,10,Hab2
353,40,5,Hab2
354,29,2,Hab2
355,42,6,Hab2
356,57,10,Hab2
357,46,7,Hab2
358,41,4,Hab2
359,34,3,Hab2
360,51,8,Hab2
361,31,1,Hab2
362,31,2,Hab2
363,56,9,Hab2
364,35,3,Hab2
365,37,4,Hab2
366,50,8,Hab2
367,31,2,Hab2
368,27,0,Hab2
369,37,4,Hab2
370,40,5,Hab2
371,38,4,Hab2
372,34,3,Hab2
373,53,9,Hab2
374,42,5,Hab2
375,43,5,Hab2
376,59,10,Hab2
377,50,8,Hab2
378,37,2,Hab2
379,32,3,Hab2
380,57,10,Hab2
381,45,6,Hab2
382,50,8,Hab2
383,42,4,Hab2
384,48,8,Hab2
385,45,5,Hab2
386,52,9,Hab2
387,31,2,Hab2
388,39,3,Hab2
389,27,1,Hab2
390,31,2,Hab2
391,63,10,Hab2
392,37,3,Hab2
393,47,7,Hab2
394,50,8,Hab2
395,30,1,Hab2
396,35,2,Hab2
397,37,3,Hab2
398,30,1,Hab2
399,27,1,Hab2
400,55,10,Hab2
401,55,10,Hab2
402,28,1,Hab2
403,51,9,Hab2
404,45,6,Hab2
405,37,4,Hab2
406,40,4,Hab2
407,48,7,Hab2
408,34,1,Hab2
409,33,3,Hab2
410,52,7,Hab2
411,37,3,Hab2
412,54,8,Hab2
413,33,2,Hab2
414,40,5,Hab2
415,34,3,Hab2
416,34,2,Hab2
417,57,10,Hab2
418,35,3,Hab2
419,44,5,Hab2
420,26,0,Hab2
421,44,5,Hab2
422,45,6,Hab2
423,44,6,Hab2
424,40,3,Hab2
425,54,9,Hab2
426,42,6,Hab2
427,36,3,Hab2
428,44,4,Hab2
429,36,2,Hab2
430,53,9,Hab2
431,60,10,Hab2
432,44,6,Hab2
433,38,3,Hab2
434,59,10,Hab2
435,32,2,Hab2
436,44,6,Hab2
437,31,1,Hab2
438,44,5,Hab2
439,31,1,Hab2
440,33,2,Hab2
441,34,3,Hab2
442,45,6,Hab2
443,45,7,Hab2
444,33,2,Hab2
445,55,9,Hab2
446,49,7,Hab2
447,48,8,Hab2
448,30,1,Hab2
449,39,4,Hab2
450,47,7,Hab2
451,42,5,Hab2
452,37,3,Hab2
453,34,2,Hab2
454,27,1,Hab2
455,33,2,Hab2
456,56,9,Hab2
457,49,8,Hab2
458,49,7,Hab2
459,35,2,Hab2
460,27,1,Hab2
461,61,10,Hab2
462,40,4,Hab2
463,44,5,Hab2
464,31,2,Hab2
465,41,6,Hab2
466,38,3,Hab2
467,36,2,Hab2
468,46,7,Hab2
469,36,3,Hab2
470,51,8,Hab2
471,31,1,Hab2
472,48,8,Hab2
473,40,4,Hab2
474,50,8,Hab2
475,48,7,Hab2
476,40,4,Hab2
477,45,6,Hab2
478,36,0,Hab2
479,35,2,Hab2
480,50,7,Hab2
481,34,2,Hab2
482,48,8,Hab2
483,38,3,Hab2
484,50,7,Hab2
485,60,9,Hab2
486,27,1,Hab2
487,31,1,Hab2
488,47,7,Hab2
489,39,4,Hab2
490,53,8,Hab2
491,53,10,Hab2
492,26,1,Hab2
493,49,5,Hab2
494,50,7,Hab2
495,29,1,Hab2
496,59,10,Hab2
497,42,3,Hab2
498,25,0,Hab2
499,49,7,Hab2
500,50,8,Hab2
501,53,4,Hab3
502,55,4,Hab3
503,46,3,Hab3
504,38,1,Hab3
505,50,4,Hab3
506,43,2,Hab3
507,52,5,Hab3
508,51,5,Hab3
509,63,9,Hab3
510,46,3,Hab3
511,52,5,Hab3
512,44,1,Hab3
513,66,9,Hab3
514,47,4,Hab3
515,57,7,Hab3
516,42,2,Hab3
517,48,5,Hab3
518,60,8,Hab3
519,39,1,Hab3
520,59,8,Hab3
521,47,3,Hab3
522,45,4,Hab3
523,47,3,Hab3
524,36,0,Hab3
525,53,5,Hab3
526,54,7,Hab3
527,61,9,Hab3
528,36,0,Hab3
529,68,10,Hab3
530,44,3,Hab3
531,66,9,Hab3
532,59,7,Hab3
533,52,4,Hab3
534,60,8,Hab3
535,36,0,Hab3
536,56,7,Hab3
537,45,3,Hab3
538,59,8,Hab3
539,55,5,Hab3
540,46,3,Hab3
541,58,8,Hab3
542,42,1,Hab3
543,60,8,Hab3
544,46,3,Hab3
545,62,8,Hab3
546,66,10,Hab3
547,37,1,Hab3
548,63,9,Hab3
549,61,8,Hab3
550,54,4,Hab3
551,51,3,Hab3
552,40,2,Hab3
553,55,6,Hab3
554,63,9,Hab3
555,51,5,Hab3
556,54,6,Hab3
557,59,7,Hab3
558,51,5,Hab3
559,51,5,Hab3
560,43,0,Hab3
561,39,0,Hab3
562,63,9,Hab3
563,63,8,Hab3
564,41,2,Hab3
565,58,7,Hab3
566,56,7,Hab3
567,46,4,Hab3
568,64,8,Hab3
569,49,5,Hab3
570,66,9,Hab3
571,54,6,Hab3
572,60,9,Hab3
573,57,6,Hab3
574,48,4,Hab3
575,60,9,Hab3
576,59,7,Hab3
577,45,4,Hab3
578,36,0,Hab3
579,53,6,Hab3
580,52,5,Hab3
581,65,9,Hab3
582,58,8,Hab3
583,62,9,Hab3
584,46,4,Hab3
585,66,9,Hab3
586,44,2,Hab3
587,47,3,Hab3
588,57,7,Hab3
589,66,10,Hab3
590,54,6,Hab3
591,54,5,Hab3
592,43,1,Hab3
593,68,10,Hab3
594,40,1,Hab3
595,39,1,Hab3
596,61,9,Hab3
597,52,5,Hab3
598,44,3,Hab3
599,65,9,Hab3
600,36,0,Hab3
601,44,2,Hab3
602,56,7,Hab3
603,41,2,Hab3
604,48,3,Hab3
605,45,2,Hab3
606,58,8,Hab3
607,43,1,Hab3
608,59,8,Hab3
609,46,3,Hab3
610,49,4,Hab3
611,55,6,Hab3
612,41,1,Hab3
613,37,0,Hab3
614,73,10,Hab3
615,60,6,Hab3
616,60,8,Hab3
617,64,9,Hab3
618,60,8,Hab3
619,66,10,Hab3
620,35,0,Hab3
621,59,9,Hab3
622,60,9,Hab3
623,58,8,Hab3
624,51,4,Hab3
625,37,0,Hab3
626,51,4,Hab3
627,46,3,Hab3
628,62,9,Hab3
629,49,4,Hab3
630,49,3,Hab3
631,63,8,Hab3
632,61,8,Hab3
633,51,5,Hab3
634,59,7,Hab3
635,43,1,Hab3
636,46,2,Hab3
637,65,10,Hab3
638,59,8,Hab3
639,58,8,Hab3
640,51,4,Hab3
641,52,6,Hab3
642,63,8,Hab3
643,66,9,Hab3
644,53,4,Hab3
645,40,1,Hab3
646,59,6,Hab3
647,60,7,Hab3
648,43,1,Hab3
649,45,3,Hab3
650,52,6,Hab3
651,60,8,Hab3
652,65,9,Hab3
653,51,5,Hab3
654,54,6,Hab3
655,54,7,Hab3
656,64,9,Hab3
657,61,9,Hab3
658,43,1,Hab3
659,49,5,Hab3
660,51,4,Hab3
661,63,8,Hab3
662,57,8,Hab3
663,39,1,Hab3
664,59,7,Hab3
665,45,2,Hab3
666,39,1,Hab3
667,68,9,Hab3
668,42,2,Hab3
669,54,6,Hab3
670,42,2,Hab3
671,37,0,Hab3
672,52,5,Hab3
673,36,1,Hab3
674,47,3,Hab3
675,47,4,Hab3
676,56,6,Hab3
677,61,8,Hab3
678,44,2,Hab3
679,53,5,Hab3
680,48,4,Hab3
681,56,7,Hab3
682,58,7,Hab3
683,68,8,Hab3
684,63,9,Hab3
685,66,10,Hab3
686,51,6,Hab3
687,52,5,Hab3
688,43,2,Hab3
689,53,5,Hab3
690,50,3,Hab3
691,37,0,Hab3
692,52,6,Hab3
693,50,5,Hab3
694,43,1,Hab3
695,48,3,Hab3
696,57,6,Hab3
697,47,2,Hab3
698,41,1,Hab3
699,49,4,Hab3
700,47,4,Hab3
701,62,8,Hab3
702,43,3,Hab3
703,37,0,Hab3
704,68,9,Hab3
705,48,3,Hab3
706,56,6,Hab3
707,49,5,Hab3
708,49,4,Hab3
709,49,2,Hab3
710,49,4,Hab3
711,54,6,Hab3
712,49,5,Hab3
713,55,7,Hab3
714,61,7,Hab3
715,51,5,Hab3
716,53,4,Hab3
717,37,0,Hab3
718,37,0,Hab3
719,71,10,Hab3
720,37,1,Hab3
721,51,4,Hab3
722,57,7,Hab3
723,58,7,Hab3
724,63,9,Hab3
725,52,6,Hab3
726,63,8,Hab3
727,59,8,Hab3
728,56,6,Hab3
729,60,8,Hab3
730,35,0,Hab3
731,56,4,Hab3
732,64,9,Hab3
733,51,6,Hab3
734,68,9,Hab3
735,46,2,Hab3
736,46,3,Hab3
737,60,8,Hab3
738,69,10,Hab3
739,50,3,Hab3
740,39,0,Hab3
741,65,10,Hab3
742,45,1,Hab3
743,37,0,Hab3
744,50,6,Hab3
745,44,3,Hab3
746,47,5,Hab3
747,63,8,Hab3
748,42,1,Hab3
749,61,7,Hab3
750,63,9,Hab3
751,61,3,Hab4
752,55,2,Hab4
753,55,2,Hab4
754,51,1,Hab4
755,69,6,Hab4
756,62,5,Hab4
757,65,5,Hab4
758,73,9,Hab4
759,47,0,Hab4
760,57,2,Hab4
761,63,5,Hab4
762,49,2,Hab4
763,63,6,Hab4
764,62,5,Hab4
765,64,6,Hab4
766,56,1,Hab4
767,53,1,Hab4
768,58,4,Hab4
769,69,7,Hab4
770,71,7,Hab4
771,75,9,Hab4
772,72,8,Hab4
773,66,7,Hab4
774,71,8,Hab4
775,49,1,Hab4
776,56,3,Hab4
777,54,3,Hab4
778,57,4,Hab4
779,66,6,Hab4
780,71,8,Hab4
781,54,3,Hab4
782,70,8,Hab4
783,48,0,Hab4
784,68,7,Hab4
785,69,8,Hab4
786,59,5,Hab4
787,57,2,Hab4
788,46,0,Hab4
789,57,3,Hab4
790,76,9,Hab4
791,72,9,Hab4
792,58,5,Hab4
793,53,2,Hab4
794,64,5,Hab4
795,70,8,Hab4
796,58,4,Hab4
797,51,1,Hab4
798,60,3,Hab4
799,59,4,Hab4
800,56,3,Hab4
801,60,5,Hab4
802,61,4,Hab4
803,48,1,Hab4
804,48,0,Hab4
805,57,3,Hab4
806,74,10,Hab4
807,66,5,Hab4
808,62,5,Hab4
809,70,7,Hab4
810,68,7,Hab4
811,46,0,Hab4
812,68,7,Hab4
813,61,4,Hab4
814,75,9,Hab4
815,71,8,Hab4
816,50,1,Hab4
817,57,3,Hab4
818,50,1,Hab4
819,65,6,Hab4
820,60,6,Hab4
821,75,7,Hab4
822,55,3,Hab4
823,62,6,Hab4
824,80,10,Hab4
825,68,7,Hab4
826,53,1,Hab4
827,58,5,Hab4
828,53,1,Hab4
829,57,3,Hab4
830,70,7,Hab4
831,49,0,Hab4
832,71,8,Hab4
833,65,5,Hab4
834,66,7,Hab4
835,64,7,Hab4
836,64,6,Hab4
837,69,7,Hab4
838,67,7,Hab4
839,60,3,Hab4
840,52,1,Hab4
841,76,10,Hab4
842,68,7,Hab4
843,64,6,Hab4
844,52,1,Hab4
845,65,6,Hab4
846,52,3,Hab4
847,75,9,Hab4
848,45,0,Hab4
849,54,2,Hab4
850,49,1,Hab4
851,59,3,Hab4
852,70,7,Hab4
853,77,10,Hab4
854,65,7,Hab4
855,62,5,Hab4
856,59,4,Hab4
857,80,9,Hab4
858,49,1,Hab4
859,51,1,Hab4
860,78,9,Hab4
861,59,4,Hab4
862,48,0,Hab4
863,62,6,Hab4
864,64,5,Hab4
865,65,6,Hab4
866,54,3,Hab4
867,52,2,Hab4
868,53,1,Hab4
869,62,5,Hab4
870,63,5,Hab4
871,49,1,Hab4
872,55,2,Hab4
873,69,8,Hab4
874,61,5,Hab4
875,72,9,Hab4
876,72,7,Hab4
877,46,0,Hab4
878,66,7,Hab4
879,77,9,Hab4
880,64,6,Hab4
881,52,1,Hab4
882,72,9,Hab4
883,67,7,Hab4
884,48,1,Hab4
885,65,7,Hab4
886,76,9,Hab4
887,57,4,Hab4
888,55,3,Hab4
889,55,3,Hab4
890,53,2,Hab4
891,65,6,Hab4
892,77,8,Hab4
893,66,7,Hab4
894,63,5,Hab4
895,76,8,Hab4
896,71,8,Hab4
897,46,0,Hab4
898,61,4,Hab4
899,47,1,Hab4
900,71,8,Hab4
901,74,9,Hab4
902,61,5,Hab4
903,72,9,Hab4
904,68,6,Hab4
905,68,7,Hab4
906,62,5,Hab4
907,71,8,Hab4
908,75,9,Hab4
909,72,8,Hab4
910,50,1,Hab4
911,44,0,Hab4
912,50,1,Hab4
913,74,9,Hab4
914,66,6,Hab4
915,57,3,Hab4
916,74,10,Hab4
917,62,6,Hab4
918,63,5,Hab4
919,61,4,Hab4
920,54,3,Hab4
921,73,8,Hab4
922,47,0,Hab4
923,65,4,Hab4
924,74,9,Hab4
925,68,7,Hab4
926,67,7,Hab4
927,56,3,Hab4
928,62,6,Hab4
929,50,1,Hab4
930,75,8,Hab4
931,74,9,Hab4
932,52,2,Hab4
933,67,8,Hab4
934,61,6,Hab4
935,74,10,Hab4
936,51,2,Hab4
937,62,5,Hab4
938,76,9,Hab4
939,73,9,Hab4
940,48,0,Hab4
941,77,10,Hab4
942,61,5,Hab4
943,55,4,Hab4
944,60,4,Hab4
945,47,1,Hab4
946,55,2,Hab4
947,57,4,Hab4
948,57,3,Hab4
949,61,4,Hab4
950,54,3,Hab4
951,63,6,Hab4
952,55,2,Hab4
953,75,10,Hab4
954,46,0,Hab4
955,59,4,Hab4
956,77,10,Hab4
957,64,6,Hab4
958,52,1,Hab4
959,59,4,Hab4
960,57,4,Hab4
961,68,5,Hab4
962,57,4,Hab4
963,63,6,Hab4
964,48,1,Hab4
965,73,9,Hab4
966,64,6,Hab4
967,61,5,Hab4
968,47,1,Hab4
969,75,8,Hab4
970,62,5,Hab4
971,69,8,Hab4
972,50,0,Hab4
973,71,8,Hab4
974,56,3,Hab4
975,58,3,Hab4
976,66,6,Hab4
977,72,9,Hab4
978,46,0,Hab4
979,63,4,Hab4
980,57,4,Hab4
981,63,5,Hab4
982,68,7,Hab4
983,72,9,Hab4
984,63,6,Hab4
985,75,9,Hab4
986,69,8,Hab4
987,49,1,Hab4
988,53,2,Hab4
989,54,2,Hab4
990,57,4,Hab4
991,50,1,Hab4
992,51,2,Hab4
993,67,6,Hab4
994,57,4,Hab4
995,62,6,Hab4
996,74,8,Hab4
997,64,6,Hab4
998,60,4,Hab4
999,67,7,Hab4
1000,50,1,Hab4
